StateFips,State,Name,CountyNum,CensusBlocksNum,Population,MedianIncome,PopDensity,EducationRate_HighSchool25,EducationRate_Bachelor25,PovertyRate
1,AL,Alabama,67,252266,4841164,44758,94.4,31,15.1,16.8
2,AK,Alaska,29,45292,736855,74444,1.2,27.7,18.4,11.2
4,AZ,Arizona,15,241666,6728577,51340,56.3,24.3,17.5,18.2
5,AR,Arkansas,75,186211,2968472,42336,56,34.7,13.9,16.8
6,CA,California,58,710145,38654206,63783,239.1,20.6,20.1,14.5
8,CO,Colorado,64,201062,5359295,62520,48.5,21.7,24.4,10.2
9,CT,Connecticut,8,67578,3588570,71755,738.1,27.3,21.3,9.2
10,DE,Delaware,3,24115,934695,61017,460.8,31.1,18.1,11.2
11,DC,District of Columbia,1,6507,659009,72935,9856.5,18,23.4,17.3
12,FL,Florida,67,484481,19934451,48900,350.6,29.2,17.8,15.3
13,GA,Georgia,159,291086,10099320,51037,168.4,28.1,18.3,16.8
15,HI,Hawaii,5,25016,1413673,71977,211.8,27.8,20.7,10.3
16,ID,Idaho,44,149842,1635483,49174,19,27.6,17.9,11.9
17,IL,Illinois,102,451554,12851684,59196,231.1,26.5,20.2,12.2
18,IN,Indiana,92,267071,6589578,50433,181,34.2,15.7,13.3
19,IA,Iowa,99,216007,3106589,54570,54.5,31.9,18.4,10.1
20,KS,Kansas,105,238600,2898292,53571,34.9,26.6,20.2,12.5
21,KY,Kentucky,120,161672,4411989,44811,109.9,33.3,13.4,18.3
22,LA,Louisiana,64,204447,4645670,45652,104.9,33.9,15.1,20.6
23,ME,Maine,16,69518,1329923,50826,43.1,33.2,18.9,13.2
24,MD,Maryland,24,145247,5959902,76067,594.8,25.4,20.7,8.9
25,MA,Massachusetts,14,157508,6742143,70954,839.4,25.1,23.1,11.6
26,MI,Michigan,83,329885,9909600,50803,174.8,29.6,16.7,12.9
27,MN,Minnesota,87,259777,5450868,63217,66.6,25.7,22.8,8.3
28,MS,Mississippi,82,171778,2989192,40528,63.2,30.4,13.1,20.8
29,MO,Missouri,115,343565,6059651,49593,87.1,31.1,17.2,11.1
30,MT,Montana,56,132288,1023391,48380,6.8,29.8,20.2,11.9
31,NE,Nebraska,93,193352,1881259,54384,23.8,27,20.1,10.6
32,NV,Nevada,17,84538,2839172,53094,24.6,28.3,15.3,13.4
33,NH,New Hampshire,10,48837,1327503,68485,147,28.4,22.1,6.9
34,NJ,New Jersey,21,169588,8915456,73702,1195.5,28.2,23.1,10.6
35,NM,New Mexico,33,168609,2082669,45674,17,26.4,15,19.1
36,NY,New York,62,350169,19697457,60741,411.2,26.4,19.7,13.4
37,NC,North Carolina,100,288987,9940828,48256,196.1,26.4,18.8,15.3
38,ND,North Dakota,53,133769,736162,59114,9.7,27.4,20.5,10.5
39,OH,Ohio,88,365344,11586941,50674,282.3,33.8,16.7,14.3
40,OK,Oklahoma,77,269118,3875589,48038,54.7,31.6,16.3,15.4
41,OR,Oregon,36,196621,3982267,53270,39.9,23.9,19.6,12.7
42,PA,Pennsylvania,67,421545,12783977,54895,283.9,36,17.8,12
44,RI,Rhode Island,5,25181,1054491,58387,1018.1,27.7,19.4,11.5
45,SC,South Carolina,46,181908,4834605,46898,153.9,29.5,16.9,15
46,SD,South Dakota,66,88360,851058,52078,10.7,30.8,19.4,13.7
47,TN,Tennessee,95,240116,6548009,46574,153.9,32.8,16.1,15.6
48,TX,Texas,254,914231,26956435,54727,96.3,25.1,18.5,15
49,UT,Utah,29,115406,2948427,62518,33.6,23,21,9.4
50,VT,Vermont,14,32580,626249,56104,67.9,29.9,21.7,9.9
51,VA,Virginia,134,285762,8310301,66149,202.6,24.5,21.2,10.8
53,WA,Washington,39,195574,7073146,62848,101.2,22.9,21.3,11.5
54,WV,West Virginia,55,135218,1846092,42644,77.1,40.5,11.9,17.7
55,WI,Wisconsin,72,253096,5754798,54610,105,31.7,18.7,11
56,WY,Wyoming,23,86204,583029,59143,5.8,29.2,17.2,10.1
72,PR,Puerto Rico,78,77189,3529385,19606,1088.2,27.3,17.7,43.5
60,AS,American Samoa,5,832,55599,NA,723.7,NA,NA,57.8
66,GU,Guam,1,3739,162896,NA,768.4,NA,NA,22.9
69,MP,Northern Mariana Islands,4,1444,55023,NA,307,NA,NA,52.3
78,VI,U.S. Virgin Islands,3,4835,102951,24704,770,NA,NA,22.4